iter	Passed	Remaining
1100	36420	62818
1101	36458	62793
1102	36493	62762
1103	36520	62719
1104	36559	62696
1105	36595	62668
1106	36632	62642
1107	36665	62608
1108	36699	62577
1109	36726	62534
1110	36755	62493
1111	36781	62449
1112	36816	62419
1113	36849	62386
1114	36880	62349
1115	36917	62323
1116	36955	62298
1117	36993	62273
1118	37025	62238
1119	37058	62205
1120	37090	62169
1121	37127	62143
1122	37163	62115
1123	37206	62099
1124	37242	62071
1125	37280	62045
1126	37306	62001
1127	37346	61979
1128	37384	61953
1129	37415	61916
1130	37442	61874
1131	37475	61841
1132	37509	61810
1133	37547	61784
1134	37566	61727
1135	37601	61697
1136	37635	61667
1137	37668	61633
1138	37699	61596
1139	37732	61563
1140	37767	61533
1141	37803	61504
1142	37838	61475
1143	37867	61435
1144	37899	61399
1145	37929	61362
1146	37960	61325
1147	37989	61286
1148	38022	61253
1149	38059	61225
1150	38097	61200
1151	38131	61168
1152	38162	61133
1153	38185	61083
1154	38216	61046
1155	38248	61011
1156	38279	60976
1157	38321	60956
1158	38353	60922
1159	38380	60879
1160	38412	60844
1161	38443	60807
1162	38485	60789
1163	38512	60747
1164	38547	60716
1165	38583	60688
1166	38614	60651
1167	38651	60625
1168	38685	60593
1169	38723	60568
1170	38755	60532
1171	38787	60498
1172	38817	60460
1173	38854	60432
1174	38887	60400
1175	38919	60364
1176	38951	60329
1177	38984	60296
1178	39020	60267
1179	39053	60235
1180	39089	60206
1181	39119	60168
1182	39151	60133
1183	39186	60103
1184	39224	60077
1185	39260	60048
1186	39291	60012
1187	39330	59989
1188	39365	59958
1189	39398	59924
1190	39434	59896
1191	39463	59856
1192	39494	59820
1193	39528	59789
1194	39563	59759
1195	39598	59729
1196	39629	59692
1197	39660	59656
1198	39689	59617
1199	39725	59588
1200	39759	59555
1201	39785	59513
1202	39821	59484
1203	39836	59424
1204	39854	59367
1205	39886	59333
1206	39927	59312
1207	39971	59295
1208	40005	59264
1209	40045	59240
1210	40083	59214
1211	40123	59192
1212	40153	59153
1213	40187	59122
1214	40220	59089
1215	40259	59065
1216	40292	59031
1217	40317	58986
1218	40356	58962
1219	40385	58923
1220	40424	58897
1221	40459	58868
1222	40499	58845
1223	40526	58802
1224	40562	58773
1225	40601	58749
1226	40643	58729
1227	40676	58695
1228	40709	58662
1229	40742	58628
1230	40780	58603
1231	40822	58583
1232	40851	58544
1233	40889	58517
1234	40931	58497
1235	40963	58463
1236	41002	58437
1237	41037	58406
1238	41073	58378
1239	41114	58356
1240	41155	58333
1241	41192	58305
1242	41225	58272
1243	41261	58244
1244	41284	58196
1245	41311	58154
1246	41350	58129
1247	41387	58101
1248	41421	58070
1249	41456	58038
1250	41492	58009
1251	41522	57972
1252	41561	57947
1253	41594	57913
1254	41633	57889
1255	41668	57857
1256	41700	57823
1257	41740	57800
1258	41776	57769
1259	41798	57722
1260	41826	57681
1261	41864	57654
1262	41899	57624
1263	41940	57601
1264	41977	57573
1265	42016	57548
1266	42053	57520
1267	42086	57487
1268	42122	57457
1269	42158	57428
1270	42191	57395
1271	42225	57362
1272	42261	57333
1273	42299	57306
1274	42336	57278
1275	42367	57242
1276	42398	57206
1277	42439	57183
1278	42475	57154
1279	42511	57125
1280	42539	57084
1281	42569	57046
1282	42606	57018
1283	42646	56994
1284	42677	56959
1285	42708	56922
1286	42742	56890
1287	42777	56859
1288	42802	56815
1289	42837	56784
1290	42851	56726
1291	42887	56696
1292	42924	56668
1293	42954	56630
1294	42985	56594
1295	43016	56559
1296	43053	56530
1297	43092	56505
1298	43129	56476
1299	43157	56437
1300	43172	56379
1301	43202	56342
1302	43230	56302
1303	43261	56267
1304	43293	56231
1305	43328	56201
1306	43363	56169
1307	43404	56146
1308	43433	56108
1309	43473	56083
1310	43502	56046
1311	43539	56017
1312	43578	55991
1313	43614	55961
1314	43638	55917
1315	43668	55879
1316	43704	55849
1317	43743	55824
1318	43775	55789
1319	43815	55765
1320	43851	55735
1321	43877	55693
1322	43916	55667
1323	43947	55631
1324	43986	55605
1325	44023	55577
1326	44061	55549
1327	44090	55512
1328	44116	55469
1329	44144	55429
1330	44179	55398
1331	44204	55355
1332	44223	55304
1333	44251	55265
1334	44283	55230
1335	44319	55200
1336	44356	55172
1337	44398	55149
1338	44437	55123
1339	44477	55098
1340	44510	55065
1341	44543	55031
1342	44578	55000
1343	44610	54966
1344	44642	54931
1345	44676	54899
1346	44711	54868
1347	44745	54836
1348	44783	54808
1349	44815	54774
1350	44857	54751
1351	44897	54727
1352	44938	54703
1353	44975	54674
1354	45006	54638
1355	45040	54607
1356	45068	54567
1357	45095	54526
1358	45134	54500
1359	45163	54461
1360	45198	54430
1361	45241	54409
1362	45277	54379
1363	45315	54351
1364	45346	54316
1365	45366	54267
1366	45403	54238
1367	45435	54204
1368	45474	54177
1369	45514	54152
1370	45551	54124
1371	45584	54090
1372	45621	54061
1373	45649	54021
1374	45680	53986
1375	45717	53957
1376	45751	53925
1377	45784	53891
1378	45818	53859
1379	45850	53824
1380	45886	53794
1381	45916	53757
1382	45947	53721
1383	45992	53702
1384	46029	53673
1385	46066	53644
1386	46097	53608
1387	46132	53577
1388	46169	53548
1389	46197	53509
1390	46232	53477
1391	46269	53448
1392	46304	53417
1393	46332	53378
1394	46370	53351
1395	46402	53316
1396	46442	53290
1397	46475	53257
1398	46510	53226
1399	46548	53197
1400	46582	53165
1401	46613	53130
1402	46648	53098
1403	46684	53068
1404	46726	53045
1405	46755	53007
1406	46792	52978
1407	46829	52949
1408	46863	52916
1409	46898	52885
1410	46937	52859
1411	46974	52829
1412	47015	52805
1413	47051	52774
1414	47087	52744
1415	47122	52713
1416	47153	52677
1417	47188	52646
1418	47219	52610
1419	47251	52575
1420	47284	52541
1421	47320	52512
1422	47360	52485
1423	47387	52445
1424	47408	52398
1425	47435	52358
1426	47475	52332
1427	47511	52302
1428	47546	52271
1429	47584	52243
1430	47621	52213
1431	47642	52167
1432	47678	52136
1433	47706	52097
1434	47742	52067
1435	47782	52041
1436	47811	52003
1437	47842	51967
1438	47875	51934
1439	47904	51896
1440	47938	51864
1441	47972	51831
1442	48003	51795
1443	48037	51763
1444	48076	51736
1445	48113	51707
1446	48151	51679
1447	48187	51648
1448	48217	51611
1449	48255	51583
1450	48293	51555
1451	48329	51525
1452	48365	51494
1453	48400	51463
1454	48436	51432
1455	48469	51399
1456	48504	51367
1457	48536	51333
1458	48572	51302
1459	48606	51269
1460	48645	51242
1461	48678	51209
1462	48714	51178
1463	48746	51144
1464	48780	51111
1465	48817	51081
1466	48850	51047
1467	48888	51020
1468	48921	50986
1469	48954	50953
1470	48990	50922
1471	49022	50887
1472	49056	50854
1473	49092	50824
1474	49127	50792
1475	49165	50763
1476	49197	50729
1477	49233	50699
1478	49265	50664
1479	49296	50628
1480	49327	50593
1481	49358	50557
1482	49396	50528
1483	49428	50494
1484	49462	50461
1485	49497	50430
1486	49524	50390
1487	49562	50361
1488	49597	50329
1489	49634	50300
1490	49666	50265
1491	49698	50231
1492	49730	50196
1493	49770	50169
1494	49794	50127
1495	49825	50091
1496	49864	50064
1497	49897	50030
1498	49935	50001
1499	49966	49966
1500	49999	49932
1501	50039	49906
1502	50076	49876
1503	50108	49841
1504	50136	49803
1505	50168	49768
1506	50203	49737
1507	50238	49705
1508	50274	49675
1509	50309	49642
1510	50345	49612
1511	50377	49577
1512	50414	49548
1513	50447	49514
1514	50474	49474
1515	50509	49443
1516	50542	49410
1517	50578	49379
1518	50612	49346
1519	50648	49315
1520	50679	49280
1521	50711	49245
1522	50747	49214
1523	50790	49190
1524	50828	49161
1525	50867	49133
1526	50906	49106
1527	50944	49077
1528	50973	49040
1529	51000	49000
1530	51033	48966
